type,year,current_std_id,source,subsection,proposed_std_id(편집),note
기타,2014,저탄소제품_인지도,2014,탄소성적표시 인증제품 가운데 온실가스 배출량이 적은 제품에 부착하는 '저탄소제품' 인지 여부,,[중복] 동일문항·중복추출(값 동일)→병합 유지
기타,2014,저탄소제품_인지도,2014,탄소성적표지 인증제품 가운데 온실가스 배출량이 적은 제품에 부착하는 ‘저탄소제품’에 대해 알고 있는지,,[중복] 동일문항·중복추출→병합 유지
기타,2014,친환경제품_추가지불의향,2014,일반제품 대비 구매 의향 있는 가격 수준,,[유지] 추가지불 금액수준=2023정본
기타,2014,친환경제품_추가지불의향,2014,일반제품 대비 친환경제품 구매 의향이 있는 가격 수준,친환경제품_가격민감태도,[분리] 가격민감 구매태도(금액수준과 다른 문항)
매트릭스,2014,친환경제품_추가지불의향,2014,친환경제품을 구매할 때 일반제품보다 가격이 더 비싸다면 어떻게 하시겠습니까?,친환경제품_가격민감태도,[분리] 위 행과 동일(매트릭스 중복추출)
순위,2014,친환경제품_확산대책,2014,친환경제품 개선 방향: 국민들에게 친환경제품이 사랑받기 위해 필요한 대책(1순위 응답),,[유지·1순위] 친환경제품 확산대책=정본
기타,2014,친환경제품_확산대책,2014,탄소성적표지 인증제품 확산을 위한 과제,환경성적표지_확산과제,[분리] 탄소성적표지(EPD) 확산과제=다른 주제
기타,2014,환경성적표지_정의인지,2014,탄소성적표지 제도 인지: 탄소성적표지가 어떤 제도라고 생각하는지,,[중복] 동일문항(잘림 접두)→병합 유지
기타,2014,환경성적표지_정의인지,2014,탄소성적표지 제도 인지: 탄소성적표지가 어떤 제도라고 생각하는지(전체 기준),,[중복] 동일문항(잘림 접두)→병합 유지
기타,2014,환경표지_전반신뢰도,2014,환경표지 인증제품과 일반제품 비교: 환경표지 인증제품이 동일 용도의 일반제품과 비교하여 어떻다고 생각하는가?,환경표지_일반제품비교,[분리] 일반제품 대비 우수성 비교(신뢰도와 다름)
기타,2014,환경표지_전반신뢰도,2014,환경표지 제도의 제품 신뢰도,,[유지] 전반 신뢰도=정본
기타,2015,그린카드_포인트희망품목,2015,귀하께서는 ‘그린카드’ 이용을 통해 포인트 적립을 받기를 희망하는 친환경 생활 분야는 무엇입니까?,,[유지] 적립희망 품목(생활용품 등)=2023정본
기타,2015,그린카드_포인트희망품목,2015,그린카드 사용자 대상 에코머니 포인트 기부의향(전체 기준),그린카드_포인트기부의향,[분리] 기부의향=다른 문항(base_n 상이)
기타,2015,환경표지_구매이유,2015,환경마크 인증제품 구매 시 고려요인(전체 기준),환경표지_구매고려요인,[분리] 구매 시 고려요인(구매이유와 다름)
기타,2015,환경표지_구매이유,2015,환경마크 인증제품을 선택한 가장 주된 이유,,[유지] 구매이유=정본
기타,2015,환경표지_세부속성_신뢰도,2015,환경마크 인증제품의 친환경적 기여 신뢰도(제품 생산 중 발생하는 유해물질을 줄였다),,[유지] 세부속성 신뢰도=정본
기타,2015,환경표지_세부속성_신뢰도,2015,환경마크 인증제품이 동일 용도의 일반제품과 비교하여 어떻다고 생각하는지에 대한 응답 분포(전체 기준),환경표지_일반제품비교,[분리] 일반제품 대비 비교(2014와 동일 신규 id)
기타,2016,그린카드_포인트희망품목,2016,귀하께서는 ‘그린카드’ 이용을 통해 포인트 적립을 받기를 희망하는 친환경 생활 분야는 무엇입니까?,그린카드_포인트희망분야,[분리] 친환경 생활'분야'(행동)≠'품목'
기타,2016,그린카드_포인트희망품목,2016,그린카드 사용자 대상 에코머니 포인트 기부 의향,그린카드_포인트기부의향,[분리] 기부의향=다른 문항
기타,2016,그린카드_포인트희망품목,2016,그린카드 이용을 통해 포인트 적립을 받기 희망하는 친환경 소비 품목,,[유지] 적립희망 품목=2023정본
매트릭스,2016,부당환경성표시광고_정부대응,2016,귀하께서 제품을 구매할 때 ‘환경성 허위·과장 표시·광고’를 한 제품을 접하게 되면 어떻게 행동하시겠습니까?,부당환경성표시광고_소비자대응,[분리] 소비자 대응행동(정부대응과 다름)
기타,2016,부당환경성표시광고_정부대응,2016,귀하께서는 친환경 관련 ‘허위·과장 표시·광고’를 근절하기 위해 정부에서 해야 할 일은 무엇이라고 생각하십니까?,,[유지] 정부대응=정본
기타,2016,부당환경성표시광고_정부대응,2016,환경성 허위/과장 표시/광고 제품 신고의향,부당환경성표시광고_신고의향,[분리] 신고의향=다른 문항
기타,2016,저탄소제품_인지도,2016,"저탄소 제품인 인증 마크 인지도(전체 기준, 2016년 응답 분포)",,[유지] 저탄소제품 인지도=정본
기타,2016,저탄소제품_인지도,2016,탄소배출량 인증 마크 인지도,환경성적표지_인지도,[분리] 탄소배출량(탄소성적표지=EPD) 마크 인지
기타,2016,친환경고려_제품,2016,나와 가족의 건강과 안전을 위해 친환경 여부를 가장 고려하는 제품,,[유지] 친환경 고려제품=정본
기타,2016,친환경고려_제품,2016,시장에서 확대되었으면 하는 친환경 제품,친환경제품_확대희망품목,[분리] 확대희망 품목(고려제품과 다름)
기타,2016,친환경제품_구매경험제품,2016,구매 경험 있는 친환경 제품,,[중복] 두 보고서 동일(값 동일)→병합 유지
기타,2016,친환경제품_구매경험제품,2016,구매 경험이 있는 친환경 제품,,[중복] 두 보고서 동일→병합 유지
기타,2016,친환경제품_추가지불의향,2016,친환경 내구재 제품 지불 용의 금액,,[매트릭스유지] 내구재 가격대=추가지불의향 정본 조건
