review_priority,review_reasons,source_locator,std_id,std_label,category,year,response_label,std_response_label,value,unit,base_n,multi_response,question_summary,section,subsection,prev_year_note,source,page_start,page_end,extraction_confidence,warning,figures,prev_value,yoy_delta,flag_jump,flag_mismatch,mismatch_verdict,mismatch_reason,sum_total,flag_sum_violation
high,flag_mismatch,2023년 인지도조사 결과보고서.pdf p.135-136,그린카드_사용이유,그린카드 사용 이유,구매 동기,2023,대중교통 이용 시 포인트 적립,대중교통 이용 시 포인트 적립,62.8,%,112,True,그린카드를 사용하는 이유를 모두 묻는 문항이다.,2. 그린카드에 대한 인식,7) 그린카드 사용 이유,22년 조사에서는 ‘친환경 제품 구매 시 포인트 적립’이 52.6%로 가장 많이 꼽혔다.,2023년 인지도조사 결과보고서.pdf,135,136,high,,<그림 3-33> 그린카드 사용 이유 / <표 3-27> 그린카드 사용 이유(복수응답),48.5,14.3,,True,contradictory,2022년 ‘친환경제품 구매 시 포인트 적립’은 63.2%로 가장 높아 서술의 52.6% 및 ‘가장 많이’라는 내용과 맞지 않습니다.,,
high,flag_mismatch,2023년 인지도조사 결과보고서.pdf p.135-136,그린카드_사용이유,그린카드 사용 이유,구매 동기,2023,친환경 제품 구매 시 포인트 적립,친환경 제품 구매 시 포인트 적립,56.6,%,112,True,그린카드를 사용하는 이유를 모두 묻는 문항이다.,2. 그린카드에 대한 인식,7) 그린카드 사용 이유,22년 조사에서는 ‘친환경 제품 구매 시 포인트 적립’이 52.6%로 가장 많이 꼽혔다.,2023년 인지도조사 결과보고서.pdf,135,136,high,,<그림 3-33> 그린카드 사용 이유 / <표 3-27> 그린카드 사용 이유(복수응답),,,,True,contradictory,2022년 ‘친환경제품 구매 시 포인트 적립’은 63.2%로 가장 높아 서술의 52.6% 및 ‘가장 많이’라는 내용과 맞지 않습니다.,,
high,flag_mismatch,2023년 인지도조사 결과보고서.pdf p.135-136,그린카드_사용이유,그린카드 사용 이유,구매 동기,2023,"가정 내 전기, 수도, 가스 절약 시 포인트 적립","가정 내 전기, 수도, 가스 절약 시 포인트 적립",45.0,%,112,True,그린카드를 사용하는 이유를 모두 묻는 문항이다.,2. 그린카드에 대한 인식,7) 그린카드 사용 이유,22년 조사에서는 ‘친환경 제품 구매 시 포인트 적립’이 52.6%로 가장 많이 꼽혔다.,2023년 인지도조사 결과보고서.pdf,135,136,high,,<그림 3-33> 그린카드 사용 이유 / <표 3-27> 그린카드 사용 이유(복수응답),42.6,2.4,,True,contradictory,2022년 ‘친환경제품 구매 시 포인트 적립’은 63.2%로 가장 높아 서술의 52.6% 및 ‘가장 많이’라는 내용과 맞지 않습니다.,,
high,flag_mismatch,2023년 인지도조사 결과보고서.pdf p.135-136,그린카드_사용이유,그린카드 사용 이유,구매 동기,2023,"전국 문화, 관광 공공시설 무료입장","전국 문화, 관광 공공시설 무료입장",18.3,%,112,True,그린카드를 사용하는 이유를 모두 묻는 문항이다.,2. 그린카드에 대한 인식,7) 그린카드 사용 이유,22년 조사에서는 ‘친환경 제품 구매 시 포인트 적립’이 52.6%로 가장 많이 꼽혔다.,2023년 인지도조사 결과보고서.pdf,135,136,high,,<그림 3-33> 그린카드 사용 이유 / <표 3-27> 그린카드 사용 이유(복수응답),23.1,-4.8,,True,contradictory,2022년 ‘친환경제품 구매 시 포인트 적립’은 63.2%로 가장 높아 서술의 52.6% 및 ‘가장 많이’라는 내용과 맞지 않습니다.,,
high,flag_mismatch,2023년 인지도조사 결과보고서.pdf p.135-136,그린카드_사용이유,그린카드 사용 이유,구매 동기,2023,연회비 무료,연회비 무료,12.8,%,112,True,그린카드를 사용하는 이유를 모두 묻는 문항이다.,2. 그린카드에 대한 인식,7) 그린카드 사용 이유,22년 조사에서는 ‘친환경 제품 구매 시 포인트 적립’이 52.6%로 가장 많이 꼽혔다.,2023년 인지도조사 결과보고서.pdf,135,136,high,,<그림 3-33> 그린카드 사용 이유 / <표 3-27> 그린카드 사용 이유(복수응답),20.6,-7.8,,True,contradictory,2022년 ‘친환경제품 구매 시 포인트 적립’은 63.2%로 가장 높아 서술의 52.6% 및 ‘가장 많이’라는 내용과 맞지 않습니다.,,
high,low_confidence; warning; flag_sum_violation,2023년 인지도조사 결과보고서.pdf p.131,그린카드_인지경로,그린카드_인지경로,,2023,"기사, 블로그, SNS 등 온라인 매체","기사, 블로그, SNS 등 온라인 매체",53.9,%,771,False,그린카드를 알게 된 경로를 묻는 문항,2. 그린카드에 대한 인식,3) 그린카드 인지 경로,"’22년 조사에서도 ‘기사, 블로그, SNS 등 온라인 매체’가 가장 높음(51.3%).",2023년 인지도조사 결과보고서.pdf,131,131,low,"원문 문항은 ‘모두 선택’으로 복수응답처럼 보이나, 상단 참고값에 복수응답=False로 제시되어 있어 충돌이 있음. 또한 표 원문이 뒤섞여 일부 항목(주변 지인의 추천, 기타)의 전체 수치를 확실히 식별할 수 없어 null 처리함.",<그림 3-29> 그린카드 인지 경로 / <표 3-23> 그린카드 인지 경로,51.3,2.6,,,consistent,"2022년 표에서 ‘기사, 블로그, SNS 등 온라인 매체’가 51.3%로 가장 높아 서술과 일치한다.",164.2,True
high,low_confidence; warning; flag_sum_violation,2023년 인지도조사 결과보고서.pdf p.131,그린카드_인지경로,그린카드_인지경로,,2023,TV 등 영상매체,"TV, 유튜브 등 영상매체",39.1,%,771,False,그린카드를 알게 된 경로를 묻는 문항,2. 그린카드에 대한 인식,3) 그린카드 인지 경로,"’22년 조사에서도 ‘기사, 블로그, SNS 등 온라인 매체’가 가장 높음(51.3%).",2023년 인지도조사 결과보고서.pdf,131,131,low,"원문 문항은 ‘모두 선택’으로 복수응답처럼 보이나, 상단 참고값에 복수응답=False로 제시되어 있어 충돌이 있음. 또한 표 원문이 뒤섞여 일부 항목(주변 지인의 추천, 기타)의 전체 수치를 확실히 식별할 수 없어 null 처리함.",<그림 3-29> 그린카드 인지 경로 / <표 3-23> 그린카드 인지 경로,,,,,consistent,"2022년 표에서 ‘기사, 블로그, SNS 등 온라인 매체’가 51.3%로 가장 높아 서술과 일치한다.",164.2,True
high,low_confidence; warning; flag_sum_violation,2023년 인지도조사 결과보고서.pdf p.131,그린카드_인지경로,그린카드_인지경로,,2023,"친환경관련 박람회, 홍보부스 등 야외행사","친환경관련 박람회, 홍보부스 등 야외행사",23.9,%,771,False,그린카드를 알게 된 경로를 묻는 문항,2. 그린카드에 대한 인식,3) 그린카드 인지 경로,"’22년 조사에서도 ‘기사, 블로그, SNS 등 온라인 매체’가 가장 높음(51.3%).",2023년 인지도조사 결과보고서.pdf,131,131,low,"원문 문항은 ‘모두 선택’으로 복수응답처럼 보이나, 상단 참고값에 복수응답=False로 제시되어 있어 충돌이 있음. 또한 표 원문이 뒤섞여 일부 항목(주변 지인의 추천, 기타)의 전체 수치를 확실히 식별할 수 없어 null 처리함.",<그림 3-29> 그린카드 인지 경로 / <표 3-23> 그린카드 인지 경로,,,,,consistent,"2022년 표에서 ‘기사, 블로그, SNS 등 온라인 매체’가 51.3%로 가장 높아 서술과 일치한다.",164.2,True
high,low_confidence; warning; flag_sum_violation,2023년 인지도조사 결과보고서.pdf p.131,그린카드_인지경로,그린카드_인지경로,,2023,"대형마트, 편의점, 유기농 매장 등 유통매장 안내","대형마트, 편의점, 유기농 매장 등 유통매장 안내",23.9,%,771,False,그린카드를 알게 된 경로를 묻는 문항,2. 그린카드에 대한 인식,3) 그린카드 인지 경로,"’22년 조사에서도 ‘기사, 블로그, SNS 등 온라인 매체’가 가장 높음(51.3%).",2023년 인지도조사 결과보고서.pdf,131,131,low,"원문 문항은 ‘모두 선택’으로 복수응답처럼 보이나, 상단 참고값에 복수응답=False로 제시되어 있어 충돌이 있음. 또한 표 원문이 뒤섞여 일부 항목(주변 지인의 추천, 기타)의 전체 수치를 확실히 식별할 수 없어 null 처리함.",<그림 3-29> 그린카드 인지 경로 / <표 3-23> 그린카드 인지 경로,,,,,consistent,"2022년 표에서 ‘기사, 블로그, SNS 등 온라인 매체’가 51.3%로 가장 높아 서술과 일치한다.",164.2,True
high,low_confidence; warning; flag_sum_violation,2023년 인지도조사 결과보고서.pdf p.131,그린카드_인지경로,그린카드_인지경로,,2023,"신문, 잡지 등 인쇄매체","신문, 잡지 등 인쇄매체",23.4,%,771,False,그린카드를 알게 된 경로를 묻는 문항,2. 그린카드에 대한 인식,3) 그린카드 인지 경로,"’22년 조사에서도 ‘기사, 블로그, SNS 등 온라인 매체’가 가장 높음(51.3%).",2023년 인지도조사 결과보고서.pdf,131,131,low,"원문 문항은 ‘모두 선택’으로 복수응답처럼 보이나, 상단 참고값에 복수응답=False로 제시되어 있어 충돌이 있음. 또한 표 원문이 뒤섞여 일부 항목(주변 지인의 추천, 기타)의 전체 수치를 확실히 식별할 수 없어 null 처리함.",<그림 3-29> 그린카드 인지 경로 / <표 3-23> 그린카드 인지 경로,22.0,1.4,,,consistent,"2022년 표에서 ‘기사, 블로그, SNS 등 온라인 매체’가 51.3%로 가장 높아 서술과 일치한다.",164.2,True
